id;from_date;to_date;semester_id;program_id
1;2020-09-21T08:16:37;2020-09-21T06:31:58;1;1
2;2020-09-20T15:09:02;2020-09-21T00:00:57;2;2
3;2020-09-20T17:04:05;2020-09-21T05:14:19;3;3
4;2020-09-21T04:52:54;2020-09-20T22:52:32;4;4
5;2020-09-20T21:24:52;2020-09-21T07:36:51;5;5
6;2020-09-21T00:40:41;2020-09-21T07:22:42;6;6
7;2020-09-20T15:28:37;2020-09-21T07:19:01;7;7
8;2020-09-20T21:35:43;2020-09-20T21:43:07;8;8
9;2020-09-20T17:38:07;2020-09-21T02:46:53;9;9
10;2020-09-20T22:08:28;2020-09-21T01:33:05;10;10
