id;application_serial;status;applied_on;application_fee_paid_on;selected_rejected_on
1;29931;CANCELLED;2020-09-21T12:14:40;2020-09-20T13:13:32;2020-09-20T18:16:08
2;47264;CANCELLED;2020-09-21T01:54:54;2020-09-21T07:57:06;2020-09-21T01:08:40
3;41962;APPLIED;2020-09-20T19:36:28;2020-09-21T10:48:39;2020-09-21T04:29:27
4;88503;CANCELLED;2020-09-20T18:31:28;2020-09-21T00:26:11;2020-09-21T09:21:29
5;80218;APPLIED;2020-09-21T08:01:52;2020-09-21T02:49:35;2020-09-20T21:56:36
6;4969;NOT_APPLIED;2020-09-21T02:41:31;2020-09-21T08:02:48;2020-09-21T04:27:47
7;11112;CANCELLED;2020-09-21T02:20:52;2020-09-21T05:32:57;2020-09-20T20:31:42
8;17775;CANCELLED;2020-09-21T08:54:51;2020-09-20T18:48:01;2020-09-21T02:42:22
9;93817;CANCELLED;2020-09-20T14:27:00;2020-09-21T10:21:59;2020-09-21T09:29:17
10;73473;EXPIRED;2020-09-21T01:49:15;2020-09-20T14:03:58;2020-09-20T17:43:43
